thumbnail_link,video_link,video_title,views,date_time,video_duration
,https://www.youtube.com/watch?v=Aby3ldYnIQE,Geek Week 2022 |11th - 17th October | GeeksforGeeks,3.3K views,8 months ago,59 seconds
,https://www.youtube.com/watch?v=WkzmnYyEoc8,Happy Dussehra 🔥,1.6K views,8 months ago,12 seconds
,https://www.youtube.com/watch?v=STVrifPDpVU,Stay Tuned for a Big Surprise!!! | GeeksforGeeks,3.1K views,8 months ago,18 seconds
,https://www.youtube.com/watch?v=QqHMu9gwlno,GeeksforGeeks Goes to Delhi Technological University | GfG X DTU,1.7K views,8 months ago,"1 minute, 24 seconds"
,https://www.youtube.com/watch?v=AQHyMunhc_k,Roadmap to a CAREER AT WALMART | Preparation Strategies by Walmart SDE | GeeksforGeeks,4.8K views,8 months ago,"30 minutes, 45 seconds"
,https://www.youtube.com/watch?v=PLdt7UobcoY,Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,2.5K views,9 months ago,"6 minutes, 2 seconds"
,https://www.youtube.com/watch?v=1b0P4IG7MIc,Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,3.3K views,9 months ago,"3 minutes, 11 seconds"
,https://www.youtube.com/watch?v=cAYfzY-9dao,Biggest Coding Mistakes | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,2.2K views,9 months ago,"8 minutes, 29 seconds"
,https://www.youtube.com/watch?v=wnwAYPTf9Z8,Overrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,1K views,9 months ago,"2 minutes, 44 seconds"
https://i.ytimg.com/vi/imRxEskXGx8/hqdefault.jpg,https://www.youtube.com/watch?v=imRxEskXGx8,How Important is UI for Websites? | Everything About Web Development | GeeksforGeeks,856 views,9 months ago,"3 minutes, 57 seconds"
https://i.ytimg.com/vi/MvxiK9tfjNw/hqdefault.jpg,https://www.youtube.com/watch?v=MvxiK9tfjNw,Underrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,910 views,9 months ago,"3 minutes, 46 seconds"
https://i.ytimg.com/vi/UbFk-BTDnqM/hqdefault.jpg,https://www.youtube.com/watch?v=UbFk-BTDnqM,Frameworks to Choose for Web Development | Everything About Web Development Ft. Prakash Sakari,1.1K views,9 months ago,"2 minutes, 28 seconds"
https://i.ytimg.com/vi/xJNtTqSj54M/hqdefault.jpg,https://www.youtube.com/watch?v=xJNtTqSj54M,What is Frontend and Backend? | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,1.8K views,9 months ago,"2 minutes, 21 seconds"
